分类: ☘️央视频道, 名称: CCTV1, 有效: 3, IPv4: 12, IPv6: 0, 最小延迟: 397 ms, 最高速率: 7.35 M/s, 平均速率: 3.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: aac
分类: ☘️央视频道, 名称: CCTV2, 有效: 4, IPv4: 12, IPv6: 0, 最小延迟: 692 ms, 最高速率: 6.24 M/s, 平均速率: 3.54 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: aac
分类: ☘️央视频道, 名称: CCTV3, 有效: 3, IPv4: 11, IPv6: 0, 最小延迟: 461 ms, 最高速率: 4.67 M/s, 平均速率: 1.54 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.78, 视频编解码器: h264, 音频编解码器: aac
分类: ☘️央视频道, 名称: CCTV4, 有效: 5, IPv4: 12, IPv6: 0, 最小延迟: 565 ms, 最高速率: 7.35 M/s, 平均速率: 3.39 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.36, 视频编解码器: h264, 音频编解码器: mp2
分类: ☘️央视频道, 名称: CCTV5, 有效: 5, IPv4: 12, IPv6: 0, 最小延迟: 421 ms, 最高速率: 7.12 M/s, 平均速率: 3.04 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: ☘️央视频道, 名称: CCTV5+, 有效: 4, IPv4: 7, IPv6: 0, 最小延迟: 412 ms, 最高速率: 3.46 M/s, 平均速率: 2.18 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: ☘️央视频道, 名称: CCTV6, 有效: 2, IPv4: 11, IPv6: 0, 最小延迟: 437 ms, 最高速率: 5.92 M/s, 平均速率: 3.53 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.56, 视频编解码器: h264, 音频编解码器: aac
分类: ☘️央视频道, 名称: CCTV7, 有效: 5, IPv4: 12, IPv6: 0, 最小延迟: 1224 ms, 最高速率: 3.29 M/s, 平均速率: 1.60 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: ☘️央视频道, 名称: CCTV8, 有效: 3, IPv4: 11, IPv6: 0, 最小延迟: 391 ms, 最高速率: 6.02 M/s, 平均速率: 2.88 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.56, 视频编解码器: h264, 音频编解码器: aac
分类: ☘️央视频道, 名称: CCTV9, 有效: 5, IPv4: 12, IPv6: 0, 最小延迟: 437 ms, 最高速率: 5.63 M/s, 平均速率: 2.07 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.50, 视频编解码器: h264, 音频编解码器: aac
分类: ☘️央视频道, 名称: CCTV10, 有效: 2, IPv4: 12, IPv6: 0, 最小延迟: 435 ms, 最高速率: 8.56 M/s, 平均速率: 5.28 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.82, 视频编解码器: h264, 音频编解码器: mp2
