🕘️更新时间,#genre#
2026-01-20 14:23:39,http://69.30.245.50/live/cctv1.m3u8

☘️央视频道,#genre#
CCTV1,http://69.30.245.50/live/cctv1.m3u8
CCTV1,http://139.227.221.119:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://182.37.41.46:8154/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://sun135790.x3322.net:9901/tsfile/live/16008_1.m3u8?key=txiptv
CCTV1,http://119.50.4.230:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://123.113.101.206:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://39.77.164.174:9901/tsfile/live/0002_2.m3u8?key=txiptv
CCTV1,http://118.193.115.2:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://223.14.160.12:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2,http://69.30.245.50/live/cctv2.m3u8
CCTV2,http://139.227.221.119:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://182.37.41.46:8154/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://sun135790.x3322.net:9901/tsfile/live/16009_1.m3u8?key=txiptv
CCTV2,http://119.50.4.230:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://123.113.101.206:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://223.14.160.12:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://39.77.164.174:9901/tsfile/live/0002_3.m3u8?key=txiptv
CCTV2,http://118.193.115.2:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3,http://69.30.245.50/live/cctv3.m3u8
CCTV3,http://139.227.221.119:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://182.37.41.46:8154/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://sun135790.x3322.net:9901/tsfile/live/16010_1.m3u8?key=txiptv
CCTV3,http://119.50.4.230:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://123.113.101.206:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://223.14.160.12:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://118.193.115.2:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4,http://69.30.245.50/live/cctv4.m3u8
CCTV4,http://139.227.221.119:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://182.37.41.46:8154/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://119.50.4.230:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://123.113.101.206:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://sun135790.x3322.net:9901/tsfile/live/16011_1.m3u8?key=txiptv
CCTV4,http://39.77.164.174:9901/tsfile/live/0002_5.m3u8?key=txiptv
CCTV4,http://223.14.160.12:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://118.193.115.2:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5,http://69.30.245.50/live/cctv5.m3u8
CCTV5,http://182.37.41.46:8154/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://139.227.221.119:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://123.113.101.206:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://sun135790.x3322.net:9901/tsfile/live/16012_1.m3u8?key=txiptv
CCTV5,http://223.14.160.12:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://118.193.115.2:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5+,http://69.30.246.194/live/cctv5p.m3u8
CCTV5+,http://182.37.41.46:8154/tsfile/live/0016_1.m3u8?key=txiptv
CCTV5+,http://sun135790.x3322.net:9901/tsfile/live/16025_1.m3u8?key=txiptv
CCTV5+,http://39.77.164.174:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5+,http://118.193.115.2:9901/tsfile/live/0141_1.m3u8?key=txiptv
CCTV6,http://69.30.245.50/live/cctv6.m3u8
CCTV6,http://182.37.41.46:8154/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://139.227.221.119:9901/tsfile/live/0006_1.m3u8?key=txiptv
